
start_station_name,end_station_name,subscriber_count,customer_count,total_count
San Jose City Hall,San Jose Diridon Caltrain Station,801,37,838
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),671,165,836
Mechanics Plaza (Market at Battery),Embarcadero at Bryant,781,53,834
San Francisco Caltrain 2 (330 Townsend),Mechanics Plaza (Market at Battery),791,41,832
Broadway St at Battery St,Market at Sansome,802,30,832
2nd at Townsend,Clay at Battery,724,107,831
San Francisco Caltrain 2 (330 Townsend),Spear at Folsom,810,20,830
Davis at Jackson,Davis at Jackson,529,298,827
Harry Bridges Plaza (Ferry Building),5th at Howard,700,126,826
Howard at 2nd,Market at Sansome,783,40,823
Powell at Post (Union Square),Powell at Post (Union Square),53,769,822
Harry Bridges Plaza (Ferry Building),Temporary Transbay Terminal (Howard at Beale),788,32,820
Mechanics Plaza (Market at Battery),Market at 10th,713,105,818
South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),774,43,817
Golden Gate at Polk,San Francisco Caltrain (Townsend at 4th),776,39,815
Market at 10th,Yerba Buena Center of the Arts (3rd @ Howard),750,64,814
Japantown,San Jose Diridon Caltrain Station,772,40,812
Powell Street BART,Powell Street BART,166,645,811
Temporary Transbay Terminal (Howard at Beale),Golden Gate at Polk,800,9,809
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Sansome,628,179,807
Grant Avenue at Columbus Avenue,Embarcadero at Sansome,352,453,805
San Jose Diridon Caltrain Station,St James Park,778,26,804
Market at 4th,2nd at South Park,722,81,803
Commercial at Montgomery,Yerba Buena Center of the Arts (3rd @ Howard),769,32,801
Market at Sansome,Powell Street BART,672,128,800
Harry Bridges Plaza (Ferry Building),Grant Avenue at Columbus Avenue,330,469,799
Golden Gate at Polk,Temporary Transbay Terminal (Howard at Beale),788,8,796
Beale at Market,Spear at Folsom,770,26,796
Embarcadero at Sansome,Grant Avenue at Columbus Avenue,115,675,790
5th at Howard,Townsend at 7th,717,71,788
Mechanics Plaza (Market at Battery),Powell at Post (Union Square),650,133,783
Embarcadero at Bryant,Embarcadero at Bryant,322,458,780
Townsend at 7th,2nd at Folsom,747,33,780
Powell Street BART,Harry Bridges Plaza (Ferry Building),351,425,776
Grant Avenue at Columbus Avenue,Powell Street BART,615,158,773
Grant Avenue at Columbus Avenue,Steuart at Market,694,79,773
Civic Center BART (7th at Market),Powell Street BART,560,210,770
Broadway St at Battery St,2nd at Townsend,696,74,770
Embarcadero at Bryant,Commercial at Montgomery,739,29,768
Mechanics Plaza (Market at Battery),San Francisco Caltrain 2 (330 Townsend),726,42,768
San Francisco Caltrain 2 (330 Townsend),Post at Kearny,735,31,766
Market at 10th,5th at Howard,684,80,764
Santa Clara at Almaden,Arena Green / SAP Center,743,17,760
Davis at Jackson,San Francisco Caltrain 2 (330 Townsend),726,33,759
Market at Sansome,Broadway St at Battery St,721,35,756
Powell Street BART,Embarcadero at Sansome,249,507,756
2nd at South Park,Market at 4th,665,90,755
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,657,98,755
Spear at Folsom,Embarcadero at Sansome,549,205,754
Beale at Market,Embarcadero at Bryant,698,55,753
Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),540,209,749
5th at Howard,Harry Bridges Plaza (Ferry Building),574,174,748
Civic Center BART (7th at Market),Embarcadero at Sansome,546,201,747
2nd at South Park,Steuart at Market,683,61,744
Market at Sansome,Market at 10th,637,106,743
Powell at Post (Union Square),Harry Bridges Plaza (Ferry Building),282,459,741
Embarcadero at Vallejo,2nd at Townsend,576,164,740
2nd at Townsend,Market at 4th,628,109,737
Embarcadero at Bryant,Townsend at 7th,658,75,733
Beale at Market,2nd at South Park,684,46,730
Commercial at Montgomery,Harry Bridges Plaza (Ferry Building),646,81,727
Davis at Jackson,Market at Sansome,696,31,727
Townsend at 7th,Market at Sansome,692,35,727
Redwood City Caltrain Station,Stanford in Redwood City,666,60,726
2nd at Folsom,Powell Street BART,652,72,724
Yerba Buena Center of the Arts (3rd @ Howard),Harry Bridges Plaza (Ferry Building),503,221,724
Mechanics Plaza (Market at Battery),Commercial at Montgomery,698,25,723
Palo Alto Caltrain Station,California Ave Caltrain Station,603,113,716
Arena Green / SAP Center,Santa Clara at Almaden,709,7,716
Powell at Post (Union Square),Market at 10th,523,192,715
2nd at Townsend,Mechanics Plaza (Market at Battery),655,60,715
2nd at Folsom,Townsend at 7th,667,47,714
Townsend at 7th,Spear at Folsom,672,38,710
Grant Avenue at Columbus Avenue,2nd at Townsend,618,91,709
Townsend at 7th,Steuart at Market,656,50,706
Market at 4th,2nd at Townsend,569,136,705
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th),333,371,704
Commercial at Montgomery,Mechanics Plaza (Market at Battery),689,14,703
2nd at Townsend,Beale at Market,616,86,702
