
start_station_name,end_station_name,latitude,longitude,total_trips
San Francisco Caltrain (Townsend at 4th),South Van Ness at Market,37.776617,-122.39526,1156
2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),37.780526,-122.390288,1156
Mountain View Caltrain Station,Evelyn Park and Ride,37.394358,-122.076713,1146
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),37.798541,-122.400862,1143
Clay at Battery,Embarcadero at Sansome,37.795001,-122.39997,1139
San Francisco Caltrain (Townsend at 4th),Commercial at Montgomery,37.776617,-122.39526,1134
Civic Center BART (7th at Market),Market at 10th,37.781039,-122.411748,1133
Market at Sansome,Steuart at Market,37.789625,-122.400811,1131
San Francisco Caltrain 2 (330 Townsend),2nd at Folsom,37.7766,-122.39547,1128
Embarcadero at Sansome,Davis at Jackson,37.80477,-122.403234,1126
MLK Library,San Jose Diridon Caltrain Station,37.335885,-121.88566,1119
Embarcadero at Sansome,Powell Street BART,37.80477,-122.403234,1117
Broadway St at Battery St,Mechanics Plaza (Market at Battery),37.798541,-122.400862,1115
Temporary Transbay Terminal (Howard at Beale),Clay at Battery,37.789756,-122.394643,1112
San Francisco Caltrain 2 (330 Townsend),Civic Center BART (7th at Market),37.7766,-122.39547,1107
Powell at Post (Union Square),Howard at 2nd,37.788446,-122.408499,1101
San Jose Diridon Caltrain Station,MLK Library,37.329732,-121.901782,1097
San Francisco Caltrain 2 (330 Townsend),Davis at Jackson,37.7766,-122.39547,1093
Embarcadero at Bryant,Mechanics Plaza (Market at Battery),37.787152,-122.388013,1092
2nd at Folsom,Spear at Folsom,37.785299,-122.396236,1089
San Francisco Caltrain (Townsend at 4th),Post at Kearny,37.776617,-122.39526,1087
South Van Ness at Market,Townsend at 7th,37.774814,-122.418954,1084
2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),37.785299,-122.396236,1080
Howard at 2nd,5th at Howard,37.786978,-122.398108,1077
Grant Avenue at Columbus Avenue,Beale at Market,37.7979,-122.405942,1075
Harry Bridges Plaza (Ferry Building),Market at 4th,37.795392,-122.394203,1074
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),37.799953,-122.398525,1072
